,ip,time,method,url,requested_file_type,status_code,response_length,user_agent,response_time,label
0,207.213.193.143,2021-5-12T5:6:0.0+0430,Get,/cdn/profiles/1026106239,,304,0,Googlebot-Image/1.0,32,1
1,207.213.193.143,2021-5-12T5:6:0.0+0430,Get,images/badge.png,png,304,0,Googlebot-Image/1.0,4,1
2,35.110.222.153,2021-5-12T5:6:0.0+0430,Get,/pages/630180847,,200,52567,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-J710GN Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36",32,0
3,35.108.208.99,2021-5-12T5:6:0.0+0430,Get,images/fav_icon2.ico,ico,200,23531,"Mozilla/5.0 (Linux; Android 6.0; CAM-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36",20,0
4,35.110.222.153,2021-5-12T5:6:0.0+0430,Get,images/sanjagh_logo_purpule5.png,png,200,4680,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-J710GN Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36",8,0
5,35.110.222.153,2021-5-12T5:6:0.0+0430,Get,css/font_awesome.min.css,css,200,30891,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-J710GN Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36",8,0
6,35.110.222.153,2021-5-12T5:6:0.0+0430,Get,images/default.jpg,jpg,200,20993,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-J710GN Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36",8,0
7,207.213.193.143,2021-5-12T5:6:0.0+0430,Get,/cdn/pro_photo_gallery/226014993,,304,0,Googlebot-Image/1.0,20,1
8,35.110.222.153,2021-5-12T5:6:0.0+0430,Get,images/sanjaghmaglogo1.png,png,200,25889,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-J710GN Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36",8,0
9,35.110.222.153,2021-5-12T5:6:0.0+0430,Get,js/lazyload.797291581158393f5011.js,js,200,10690,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-J710GN Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36",0,0
